id,text,target,categoria,sentiment_label,sentiment_compound,negativity,pos_word_count,neg_word_count
10028,"Check out 'Want Twister Tickets AND A VIP EXPERIENCE To See SHANIA? CLICK HERE:' at  http://t.co/3GEROQ49o1
I would Love Love Love!! To win",0,No desastre,positivo,0.973,0.0,6,0
9345,@thoutaylorbrown I feel like accidents are just drawn to you but I'm happy you've survived all of them. Hope you're okay!!!,0,No desastre,positivo,0.9564,0.0,5,1
8989,TodayÛªs storm will pass; let tomorrowÛªs light greet you with a kiss. Bask in this loving warmth; let your soul return to bliss.,1,Desastre real,positivo,0.9471,0.0,5,0
8136,@Zak_Bagans pets r like part of the family. I love animals.??? The last 2 pets I had I rescued! Breaks my heart when animals are mistreated????,0,No desastre,positivo,0.9428,0.0,4,0
4541,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0,No desastre,positivo,0.9423,0.0,5,1
4844,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0,No desastre,positivo,0.9423,0.0,5,1
9710,Maaaaan I love Love Without Tragedy by @rihanna I wish she made the whole song,0,No desastre,positivo,0.9394,0.0,3,1
8994,Free Ebay Sniping RT? http://t.co/B231Ul1O1K Lumbar Extender Back Stretcher Excellent Condition!! ?Please Favorite &amp; Share,0,No desastre,positivo,0.9376,0.0,5,0
1453,I'm not a Drake fan but I enjoy seeing him body-bagging people. Great marketing lol.,0,No desastre,positivo,0.9345,0.0,4,0
9386,@duchovbutt @Starbuck_Scully @MadMakNY @davidduchovny yeah we survived 9 seasons and 2 movies. Let's hope for the good. There's hope ??????,0,No desastre,positivo,0.9344,0.0,5,0
